Requirements:  APPLICATION_NAME=generation  
INSTANCE  MAX_2D_GRIDPOINTS_PER_PROCESS  DURATION  
BIM9474FracturePressure_none_none  4.0  4.0841088295  
AMT_IO_Pressure_Model_ScaleXY_8  4.0  39.469825983  
BIM9474FracturePressure_none_none  2.0  7.38559794426  
BIM9474FracturePressure_none_none  1.0  8.61580610275  
30_30_Regional_A_ScaleXY_4  743.4  237.265218973  
30_30_Regional_A_ScaleXY_4  468.0  208.155601025  
30_30_Regional_A_ScaleXY_4  1446.768  373.464350939  
WR_Section1_none_none  536.0  221.824641943  
WR_Section1_none_none  2111.52  246.274173975  
WR_Section1_none_none  1064.0  239.377102137  
30_30_Regional_A_ScaleXY_4  2140.776  536.334048033  
30_30_Regional_A_ScaleXY_4  4002.48  756.196111917  
89_Acquifer_mig_ScaleXY_4  4.0  40.5790970325  
WR_Section1_none_none  272.0  171.579693079  
AANVG_Reduced_TCalib5Small_ScaleXY_2  768.0  49.9945149422  
AANVG_Reduced_TCalib5Small_none_none  2961.0  139.423765182  
AANVG_Reduced_TCalib5Small_ScaleXY_4  192.0  41.3122501373  
30_30_Regional_A_ScaleXY_8  190.944  175.266343117  
F3_Salt_none_none  4.0  4.28812003136  
F3_SeaBed_none_none  4.0  4.00029397011  
CA1_scenario2_ScaleXY_8  160.08  95.4524800777  
CA1_scenario2_ScaleXY_4  209.04  217.704952002  
CA1_scenario2_ScaleXY_4  665.574  249.497809887  
CA1_scenario2_ScaleXY_4  110.04  215.97704196  
CA1_scenario2_ScaleXY_2  830.622  382.213567972  
